ID,SMILES,mib_vol,LogP_Jchem,pKa_uncap
1489,c1(c[nH]c(=N)[nH]1)C[C@H](N)C(=O)O,148.232,-3.364266355,2.111606347
1493,C1=N[C@@H]2CN1[C@H](N2)[C@H](N)C(=O)O,144.973,-3.53742706,2.16424155
1499,C1=N[C@H]2NCN1[C@@H]2[C@@H](N)C(=O)O,144.973,-3.769609903,2.150553467
1511,C1=N[C@@]2(CN1CN2)[C@@H](N)C(=O)O,144.623,-3.463245067,1.877858439
1523,C\1(=C\[C@H](N)C(=O)O)/N=CNCN1,149.194,-3.002297533,2.010997963
1531,C\1(=C\[C@H](N)C(=O)O)/NC=NCN1,149.194,-3.05180278,2.011195931
1543,C1=CNC(=NCN1)[C@@H](N)C(=O)O,149.194,-3.866886063,0.761843903
1549,C1=NC=C(NCN1)[C@@H](N)C(=O)O,149.194,-4.019237256,2.004228283
1553,C1=NCNC(=CN1)[C@H](N)C(=O)O,149.194,-4.093301319,2.003612796
1559,C1=NCNC=C(N1)[C@H](N)C(=O)O,149.194,-3.961358961,1.901650507
1567,C1=NC(=CNCN1)[C@H](N)C(=O)O,149.194,-3.940729824,1.897380655
1571,C\1(=C(/N)\[C@H](N)C(=O)O)/C=NCN1,148.081,-5.160804835,3.493528683
1579,C1(=C(NCN=C1)[C@H](N)C(=O)O)N,148.081,-5.177210469,3.555147765
1583,c1(CN)ncc([nH]1)[C@@H](N)C(=O)O,148.081,-4.745008231,1.636271676
1597,c1(CN)nc(c[nH]1)[C@@H](N)C(=O)O,148.081,-4.297177795,1.441644573
1601,C1(=NC=C(NC1)[C@@H](N)C(=O)O)N,148.081,-4.426577197,2.004281069
1607,C1(=NC(=CNC1)[C@@H](N)C(=O)O)N,148.081,-4.385352593,1.897397959
1609,C\1(=C(\N)/[C@H](N)C(=O)O)/CNC=N1,148.081,-4.862625307,2.004320401
1613,c1(CN)nc[nH]c1[C@@H](N)C(=O)O,148.081,-4.698655992,1.584766827
1619,C\1(=C(\N)/[C@H](N)C(=O)O)/CN=CN1,148.081,-4.918757755,2.003716993
1621,c1(CN)[nH]cnc1[C@@H](N)C(=O)O,148.081,-4.359736102,1.453474753
1627,C1(=C(NC=NC1)[C@@H](N)C(=O)O)N,148.081,-4.765694756,1.900770395
1637,C1(=C(N=CNC1)[C@@H](N)C(=O)O)N,148.081,-4.758551515,1.896293044
1657,C1(=NCC=C(N1)[C@H](N)C(=O)O)N,148.081,-3.644215703,1.942093602
1663,C1(=NC(=CCN1)[C@H](N)C(=O)O)N,148.081,-3.644162654,1.93855677
1667,C1(=NC=C(CN1)[C@H](N)C(=O)O)N,148.081,-3.712702376,1.998183057
1669,C1(=NCC(=CN1)[C@@H](N)C(=O)O)N,148.081,-3.716223904,1.998053766
1693,C1(=CN=C([C@H]1N)[C@H](N)C(=O)O)N,146.993,-4.828362587,0.954675768
1697,C1(=C[C@H](N)C(=N1)[C@@H](N)C(=O)O)N,146.993,-3.973220602,1.508664946
1699,C1(=N[C@H](N)C(=C1)[C@H](N)C(=O)O)N,146.993,-4.938886848,2.253529468
1709,C1(=C([C@H](N=C1)N)[C@H](N)C(=O)O)N,146.993,-5.166676564,1.808559511
1721,C1(=NC(=C[C@H]1N)[C@@H](N)C(=O)O)N,146.993,-4.44593877,1.895160505
1723,C1(=NC=C([C@H]1N)[C@@H](N)C(=O)O)N,146.993,-5.494797041,1.940260998
1733,C1(=C(N=C[C@@H]1N)[C@@H](N)C(=O)O)N,146.993,-6.049509572,1.078838364
1741,C1(=C(C=N[C@@H]1N)[C@H](N)C(=O)O)N,146.993,-5.222585185,1.831690984
1747,C1(=N[C@@H](C=C1[C@H](N)C(=O)O)N)N,146.993,-3.912540296,1.290998557
1753,C1(=C([C@H](C=N1)N)[C@H](N)C(=O)O)N,146.993,-5.122195705,1.80162172
1759,c1(c[nH]c(n1)[C@@H](N)C(=O)O)NC,148.954,-3.138929664,1.612333256
1777,c1(cnc([nH]1)[C@@H](N)C(=O)O)NC,148.954,-3.037038018,1.561826679
1783,c1(ncc([nH]1)[C@@H](N)C(=O)O)NC,148.954,-3.134021305,1.681836024
1787,c\1(=N\C)/[nH]cc([nH]1)[C@@H](N)C(=O)O,148.954,-3.180542186,1.888342285
